Date,weight,calories,weeks_from_start,weekly_weight_goal,lower_bound,upper_bound,weekly weight differences,weight_predictions
2021-11-07,158.7,2827.714285714286,0.0,158.7,158.30325,159.09675,,158.6513888888889
2021-11-14,159.26666666666668,2652.4285714285716,1.0,159.25545,158.857311375,159.653588625,0.5666666666666913,159.3638888888889
2021-11-21,160.125,2152.25,2.0,159.8109,159.41137275,160.21042725,0.8583333333333201,160.0763888888889
2021-11-28,,,3.0,160.36635,159.965434125,160.76726587500002,,160.78888888888892
2021-12-05,,,4.0,160.92180000000002,160.5194955,161.32410450000003,,161.50138888888893
2021-12-12,,,5.0,161.47725000000003,161.07355687500004,161.88094312500002,,162.21388888888893
2021-12-19,,,6.0,162.03270000000003,161.62761825000004,162.43778175000003,,162.92638888888894
2021-12-26,,,7.0,162.58815000000004,162.18167962500004,162.99462037500004,,163.63888888888894
2022-01-02,,,8.0,163.14360000000005,162.73574100000005,163.55145900000005,,164.35138888888895
2022-01-09,,,9.0,163.69905000000006,163.28980237500005,164.10829762500006,,165.06388888888895
2022-01-16,,,10.0,164.25450000000006,163.84386375000005,164.66513625000007,,165.77638888888896
2022-01-23,,,11.0,164.80995000000007,164.39792512500009,165.22197487500006,,166.48888888888897
2022-01-30,,,12.0,165.36540000000008,164.9519865000001,165.77881350000007,,167.20138888888897
2022-02-06,,,13.0,165.9208500000001,165.5060478750001,166.33565212500008,,167.91388888888898
2022-02-13,,,14.0,166.4763000000001,166.0601092500001,166.8924907500001,,168.62638888888898
2022-02-20,,,15.0,167.0317500000001,166.6141706250001,167.4493293750001,,169.338888888889
2022-02-27,,,16.0,167.5872000000001,167.1682320000001,168.00616800000012,,170.051388888889
2022-03-06,,,17.0,168.14265000000012,167.7222933750001,168.56300662500013,,170.763888888889
2022-03-13,,,18.0,168.69810000000012,168.27635475000014,169.1198452500001,,171.476388888889
2022-03-20,,,19.0,169.25355000000013,168.83041612500014,169.67668387500012,,172.188888888889
